Construct,Items,N,Mean,SD,Minimum,Maximum,Cronbach_alpha
Teacher Trust,5,350,3.8005714285714283,0.5790019218814096,1.8,5.0,0.6765867414766706
SHAP Explanation Clarity,5,350,3.902285714285714,0.5118038536481404,2.0,5.0,0.5753998267302906
Explanation Usability,5,350,3.8062857142857145,0.49993171862868996,2.0,5.0,0.5284816221605835
Pedagogical Factors,5,350,3.894285714285714,0.5468549606000384,1.8,5.0,0.6443291631306634
Perceived Usefulness,3,350,3.8180952380952387,0.6126046737393959,2.3333333333333335,5.0,0.5058572020680175
Perceived Ease of Use,3,350,3.7380952380952377,0.6330916372444518,1.6666666666666667,5.0,0.5283608510638299
Institutional Support,5,350,3.1914285714285713,0.5544668460981433,1.0,4.6,0.582680478257396
Human-AI Collaboration,5,350,4.267428571428571,0.45725193131820496,3.0,5.0,0.5452749985903935
Prediction Quality,5,350,3.722285714285714,0.5386127022841266,1.8,4.8,0.5873350837111019
Fairness and Transparency,5,350,3.6965714285714286,0.534794729959819,2.4,5.0,0.5987080212826129
